Prev Time,Curr Time,Frame Dur,FrameRate,
108.940361,108.957031,0.01667,59.987917,
108.957031,108.973651,0.01662,60.168513,
108.973651,108.990336,0.01668,59.934871,
108.990336,109.007011,0.01667,59.971763,
109.007011,109.023656,0.01665,60.075764,
109.023656,109.040410,0.01675,59.688178,
109.040410,109.057025,0.01662,60.185935,
109.057025,109.073791,0.01677,59.643647,
109.073791,109.090813,0.01702,58.749048,
109.090813,109.107378,0.01656,60.368896,
109.107378,109.123707,0.01633,61.240439,
109.123707,109.140358,0.01665,60.054935,
109.140358,109.156996,0.01664,60.105876,
109.156996,109.173701,0.01671,59.861224,
109.173701,109.191240,0.01754,57.017154,
109.191240,109.207247,0.01601,62.469935,
109.207247,109.223714,0.01647,60.728711,
109.223714,109.240333,0.01662,60.171997,
109.240333,109.257038,0.01670,59.862374,
109.257038,109.273948,0.01691,59.137953,
109.273948,109.290963,0.01702,58.771197,
109.290963,109.307070,0.01611,62.081838,
109.307070,109.323726,0.01666,60.039901,
109.323726,109.340369,0.01664,60.087342,
109.340369,109.357041,0.01667,59.977531,
109.357041,109.373710,0.01667,59.991380,
109.373710,109.390330,0.01662,60.170835,
109.390330,109.406993,0.01666,60.013320,
109.406993,109.423882,0.01689,59.208705,
109.423882,109.440851,0.01697,58.933389,
109.440851,109.457105,0.01625,61.519574,
109.457105,109.474207,0.01710,58.473593,
109.474207,109.490562,0.01635,61.144359,
109.490562,109.507083,0.01652,60.528286,
109.507083,109.523716,0.01663,60.122103,
109.523716,109.540348,0.01663,60.126740,
109.540348,109.557035,0.01669,59.925655,
109.557035,109.573774,0.01674,59.739644,
109.573774,109.590343,0.01657,60.354872,
109.590343,109.607031,0.01669,59.922200,
109.607031,109.623702,0.01667,59.983301,
109.623702,109.640360,0.01666,60.031808,
109.640360,109.657129,0.01677,59.633380,
109.657129,109.674007,0.01688,59.249211,
109.674007,109.690449,0.01644,60.819929,
109.690449,109.707080,0.01663,60.131379,
109.707080,109.723787,0.01671,59.852031,
109.723787,109.740444,0.01666,60.037588,
109.740444,109.757049,0.01661,60.219647,
109.757049,109.773726,0.01668,59.963689,
109.773726,109.790575,0.01685,59.350720,
109.790575,109.807085,0.01651,60.570618,
109.807085,109.823683,0.01660,60.248739,
109.823683,109.840386,0.01670,59.866971,
109.840386,109.857134,0.01675,59.709897,
109.857134,109.874275,0.01714,58.339015,
109.874275,109.890446,0.01617,61.841717,
109.890446,109.907286,0.01684,59.380109,
109.907286,109.923747,0.01646,60.751193,
109.923747,109.940299,0.01655,60.416859,
109.940299,109.957076,0.01678,59.604879,
109.957076,109.973759,0.01668,59.940633,
109.973759,109.990474,0.01672,59.824468,
109.990474,110.007156,0.01668,59.945242,
110.007156,110.023824,0.01667,59.994843,
110.023824,110.040500,0.01668,59.969456,
110.040500,110.057250,0.01675,59.700751,
110.057250,110.073932,0.01668,59.944090,
110.073932,110.090558,0.01663,60.146459,
110.090558,110.107211,0.01665,60.049152,
